status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,status_and_sex,secondary_obligor,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,n_guarantors,telephone,is_foreign_worker,target,credit_mix_score,installment_amount,age_bucket
< 0 DM,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,500 to < 1000 DM,1 to < 4 years,1,female : divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee/ official,1,none,yes,0,0.08695651795841226,129.7272687961434,<25
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),2366,500 to < 1000 DM,4 to < 7 years,3,male : divorced/separated,none,3,real estate,36,none,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.027777777006172864,197.1666502361125,35-45
< 0 DM,21,existing credits paid back duly till now,radio/television,1835,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,none,2,none,25,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.07999999680000013,87.38094821995485,<25
no checking account,24,critical account/ other credits existing (not at this bank),car (used),3868,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,2,real estate,41,none,rent,2,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.048780486615110086,161.16665995138916,35-45
no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,< 100 DM,1 to < 4 years,3,male : single,none,2,none,24,none,rent,1,unskilled - resident,1,none,yes,1,0.041666664930555625,147.33332105555658,<25
>= 200 DM,10,critical account/ other credits existing (not at this bank),car (new),781,< 100 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,63,none,for free,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.031746031242126486,78.09999219000079,55-65
0 to < 200 DM,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/ no savings account,< 1 year,4,female : divorced/separated/married,none,3,none,27,none,rent,1,skilled employee/ official,1,none,yes,0,0.037037035665294975,106.88888295061761,25-35
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2121,< 100 DM,1 to < 4 years,4,male : single,none,2,car,30,none,own,2,skilled employee/ official,1,none,yes,1,0.06666666444444451,176.74998527083457,25-35
< 0 DM,12,existing credits paid back duly till now,radio/television,701,< 100 DM,1 to < 4 years,4,male : married/widowed,none,2,none,40,none,own,1,unskilled - resident,1,none,yes,1,0.024999999375000016,58.41666179861152,35-45
0 to < 200 DM,12,existing credits paid back duly till now,repairs,639,< 100 DM,1 to < 4 years,4,male : single,none,2,real estate,30,none,own,1,skilled employee/ official,1,none,yes,0,0.033333332222222255,53.249995562500374,25-35
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,< 100 DM,unemployed,4,male : single,none,2,real estate,34,none,own,2,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.05882352768166096,154.99998708333442,25-35
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),3499,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,co-applicant,2,none,29,none,own,2,skilled employee/ official,1,none,yes,0,0.06896551486325811,291.58330903472427,25-35
0 to < 200 DM,48,existing credits paid back duly till now,car (new),8487,unknown/ no savings account,4 to < 7 years,1,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/ official,1,none,yes,1,0.041666664930555625,176.81249631640634,<25
< 0 DM,36,delay in paying off in the past,education,6887,< 100 DM,1 to < 4 years,4,male : single,none,3,car,29,stores,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.034482757431629055,191.30555024151252,25-35
no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,< 100 DM,< 1 year,2,male : single,none,3,car,27,bank,own,2,unskilled - resident,1,none,yes,1,0.07407407133058995,180.5333212977786,25-35
no checking account,18,existing credits paid back duly till now,furniture/equipment,1984,< 100 DM,1 to < 4 years,4,male : single,none,4,savings agreement/life insurance,47,bank,for free,2,skilled employee/ official,1,none,yes,1,0.04255319058397467,110.22221609876577,45-55
no checking account,60,existing credits paid back duly till now,radio/television,10144,100 to < 500 DM,4 to < 7 years,2,female : divorced/separated/married,none,4,none,21,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.04761904535147403,169.06666384888894,<25
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1240,unknown/ no savings account,>= 7 years,4,female : divorced/separated/married,none,2,none,38,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.05263157756232691,103.33332472222294,35-45
no checking account,27,delay in paying off in the past,car (used),8613,>= 1000 DM,1 to < 4 years,2,male : single,none,2,real estate,27,none,own,2,skilled employee/ official,1,none,yes,1,0.07407407133058995,318.9999881851856,25-35
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,766,500 to < 1000 DM,1 to < 4 years,4,male : single,none,3,none,66,none,own,1,unskilled - resident,1,none,yes,0,0.015151514921946744,63.833328013889336,65+
0 to < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,2728,unknown/ no savings account,4 to < 7 years,4,male : single,guarantor,2,none,35,bank,own,3,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.0857142832653062,181.86665454222305,25-35
>= 200 DM,12,existing credits paid back duly till now,radio/television,1881,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,2,real estate,44,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,0.022727272210743815,156.7499869375011,35-45
>= 200 DM,6,existing credits paid back duly till now,car (new),709,>= 1000 DM,< 1 year,2,male : married/widowed,none,2,none,27,none,own,1,unemployed/ unskilled - non-resident,1,none,no,1,0.037037035665294975,118.16664697222551,25-35
0 to < 200 DM,36,existing credits paid back duly till now,radio/television,4795,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,savings agreement/life insurance,30,none,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.033333332222222255,133.19444074459886,25-35
< 0 DM,27,existing credits paid back duly till now,radio/television,3416,< 100 DM,1 to < 4 years,3,male : single,none,2,real estate,27,none,own,1,management/ self-employed/highly qualified employee,1,none,yes,1,0.037037035665294975,126.51851383264763,25-35
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,< 100 DM,1 to < 4 years,2,male : single,none,2,real estate,22,none,own,1,skilled employee/ official,1,none,yes,0,0.045454543388429844,136.77777017901275,<25
no checking account,21,critical account/ other credits existing (not at this bank),furniture/equipment,2288,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,car,23,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.04347825897920613,108.95237576417257,<25
0 to < 200 DM,48,all credits at this bank paid back duly,business,3566,100 to < 500 DM,4 to < 7 years,4,male : single,none,2,real estate,30,none,own,1,skilled employee/ official,1,none,yes,1,0.033333332222222255,74.29166511892365,25-35
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),860,< 100 DM,>= 7 years,1,female : divorced/separated/married,none,4,savings agreement/life insurance,39,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.05128204996712693,143.33330944444842,35-45
no checking account,12,critical account/ other credits existing (not at this bank),car (new),682,100 to < 500 DM,4 to < 7 years,4,female : divorced/separated/married,none,3,real estate,51,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.0392156855055748,56.83332859722262,45-55
< 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,5371,< 100 DM,1 to < 4 years,3,male : single,guarantor,2,car,28,none,own,2,skilled employee/ official,1,none,yes,1,0.07142856887755111,149.19444030015444,25-35
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1582,>= 1000 DM,>= 7 years,4,male : single,none,4,real estate,46,none,own,2,skilled employee/ official,1,none,yes,1,0.04347825992438566,87.8888840061731,45-55
no checking account,6,existing credits paid back duly till now,radio/television,1346,100 to < 500 DM,>= 7 years,2,male : single,none,4,savings agreement/life insurance,42,bank,for free,1,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.0238095232426304,224.33329594445067,35-45
no checking account,10,existing credits paid back duly till now,radio/television,1924,< 100 DM,1 to < 4 years,1,male : single,none,4,car,38,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",no,1,0.026315788781163457,192.39998076000194,35-45
>= 200 DM,36,existing credits paid back duly till now,radio/television,5848,< 100 DM,1 to < 4 years,4,male : single,none,1,real estate,24,none,own,1,skilled employee/ official,1,none,yes,1,0.041666664930555625,162.4444399320989,<25
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),car (used),7758,>= 1000 DM,>= 7 years,2,female : divorced/separated/married,none,4,savings agreement/life insurance,29,none,rent,1,skilled employee/ official,1,none,yes,1,0.034482757431629055,323.24998653125056,25-35
0 to < 200 DM,24,delay in paying off in the past,business,6967,100 to < 500 DM,4 to < 7 years,4,male : single,none,4,real estate,36,none,rent,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.027777777006172864,290.291654571181,35-45
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1282,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,4,real estate,20,none,rent,1,skilled employee/ official,1,none,yes,0,0.04999999750000012,106.8333244305563,<25
< 0 DM,9,critical account/ other credits existing (not at this bank),repairs,1288,100 to < 500 DM,>= 7 years,3,male : single,guarantor,4,none,48,none,own,2,skilled employee/ official,2,none,no,1,0.041666665798611134,143.11109520987833,45-55
< 0 DM,12,all credits at this bank paid back duly,retraining,339,< 100 DM,>= 7 years,4,male : married/widowed,none,1,real estate,45,bank,own,1,unskilled - resident,1,none,yes,1,0.022222221728395074,28.24999764583353,35-45
0 to < 200 DM,24,existing credits paid back duly till now,car (new),3512,100 to < 500 DM,4 to < 7 years,2,male : single,none,3,real estate,38,bank,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.05263157756232691,146.33332723611136,35-45
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1898,unknown/ no savings account,1 to < 4 years,1,male : single,none,2,none,34,none,own,2,unskilled - resident,2,none,yes,1,0.05882352768166096,316.3332806111199,25-35
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2872,100 to < 500 DM,>= 7 years,3,male : single,none,4,none,36,none,own,1,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.027777777006172864,119.66666168055576,35-45
no checking account,18,critical account/ other credits existing (not at this bank),car (new),1055,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,car,30,none,own,2,skilled employee/ official,1,none,yes,1,0.06666666444444451,58.611107854938446,25-35
no checking account,15,existing credits paid back duly till now,domestic appliances,1262,500 to < 1000 DM,4 to < 7 years,4,male : single,none,3,car,36,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.05555555401234573,84.13332772444483,35-45
0 to < 200 DM,10,existing credits paid back duly till now,car (new),7308,< 100 DM,unemployed,2,male : single,none,4,savings agreement/life insurance,70,bank,for free,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.014285714081632657,730.7999269200074,65+
no checking account,36,existing credits paid back duly till now,car (new),909,500 to < 1000 DM,>= 7 years,4,male : single,none,4,car,36,none,own,1,skilled employee/ official,1,none,yes,1,0.027777777006172864,25.249999298611133,35-45
